City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,76.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1,Busselton,AU,68.04,clear sky,-33.65,115.3333,Observatory Guest House
6,Bredasdorp,ZA,62.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
9,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
10,Santa Cruz,BO,74.66,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
15,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
18,Ribeira Grande,PT,61.02,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
19,Kabompo,ZM,63.05,light rain,-13.5927,24.2008,Big Tree
21,Punta Arenas,CL,60.91,few clouds,-53.15,-70.9167,Hotel Hain
22,New Norfolk,AU,73.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
24,Keningau,MY,75.65,moderate rain,5.3378,116.1602,Sabindo Hotel
28,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
31,Hobart,AU,74.26,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
32,Itarema,BR,81.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
35,Houma,US,75.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
36,Hithadhoo,MV,81.9,overcast clouds,-0.6,73.0833,Scoop Guest House
38,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
40,Hermanus,ZA,64.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
42,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
43,Guerrero Negro,MX,64.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
44,Butaritari,KI,82.18,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
46,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
47,Rikitea,PF,77.86,light rain,-23.1203,-134.9692,People ThankYou
49,Victoria,HK,63.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
50,Dunedin,NZ,73.33,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
51,East London,ZA,64.06,few clouds,-33.0153,27.9116,Tu Casa
54,Atuona,PF,78.28,few clouds,-9.8,-139.0333,Villa Enata
57,Ponta Do Sol,PT,68.0,broken clouds,32.6667,-17.1,Hotel do Campo
58,Faanui,PF,80.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Mwinilunga,ZM,62.13,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
71,Mataura,NZ,76.48,broken clouds,-46.1927,168.8643,Ellie's Villa
74,Meulaboh,ID,74.48,light rain,4.1363,96.1285,Kost Pria
76,Xambioa,BR,74.52,overcast clouds,-6.4111,-48.5364,Pousada Do Sol
77,Lorengau,PG,80.47,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
